t,x,y,yaw,vx,vy,w
0.0,0.5,0.5,3.1472129833443385,0.0,-2.03939198766744e-33,5.905676187517671e-35
0.07554427299816277,0.5,0.5,3.1472129833443385,-0.0055610134448406835,-0.22663281559722337,0.023732883506859048
0.15108854599632554,0.5003238719841818,0.5171229019888997,3.1490058667750143,-0.01231750355697299,-0.45326563067917575,0.04746575658515879
0.2266328189944883,0.5010005251443054,0.5513704817078539,3.152591632848548,-0.022101037534111717,-0.679898445144459,0.07119861389498613
0.3021770919926511,0.5021051080130283,0.6027481722400695,3.1579702803737213,-0.03672742006728629,-0.9065312588566525,0.09493144470022628
0.3777213649908139,0.5037577392793778,0.6712676712813882,3.1651418073482653,-0.05802197645303182,-1.1331640716280085,0.11866422204681255
0.4532656379889766,0.506124035219674,0.7569512037219639,3.1741062097336843,-0.08782519273235459,-1.3597968831902632,0.14239683781713916
0.5288099109871394,0.5094158566954918,0.8598374580048417,3.1848634753238176,-0.12800393233823107,-1.5864296931409134,0.1477314040042909
0.6043541839853022,0.5138925664492502,0.9799892527001456,3.196023736838318,-0.17667587031807624,-1.8130625008355812,0.12399880332537407
0.679898456983465,0.5197680963066559,1.1174790179109122,3.205391136288174,-0.22756083417947245,-2.0396953051459157,0.10026604159751244
0.7554427299816278,0.52710017186687,1.2723488472013966,3.2129656615070608,-0.27881351543688615,-2.2663281038148133,0.0765332272592288
0.8309870029797904,0.5359000453120686,1.4446231019471671,3.2187473085205607,-0.3285662732224927,-2.4929608911990075,0.0528003876091187
0.9065312759779532,0.5461314628344488,1.6343049314628364,3.2227360754165115,-0.37493666490423766,-2.7195936447246307,0.029067533772016877
0.982075548976116,0.5577099790282734,1.84137447131872,3.2249319611231666,-0.3689259680499972,-2.6125874338899737,0.005334671549794459
1.0576198219742787,0.5690541797823871,2.0403754884186327,3.2253349650070784,-0.3383901378117833,-2.3859546803434135,-0.018398195681495567
1.1331640949724415,0.579451518933681,2.222127299963988,3.2239450866898403,-0.30167425942556675,-2.15932189293868,-0.042131065759663085
1.2087083679706043,0.5887455337787142,2.386573538236782,3.220762325956388,-0.2606482477059493,-1.9326890942497736,-0.06586393715793108
1.2842526409687671,0.5968273546938694,2.5336770674484375,3.2157866827069936,-0.21718904198876715,-1.7060562899201435,-0.08959680870745863
1.35979691396693,0.6036360421133367,2.663421491959664,3.2090181569302323,-0.284531589059775,-1.479423482207087,-0.11332967945187553
1.4353411869650927,0.6175520342549067,2.7763777088043025,3.200456748686924,-0.5111639534384517,-1.2527906721961986,-0.13706254694174078
1.5108854599632555,0.6505329121833315,2.8731267062957704,3.1901024582229325,-0.6977872172577785,-1.026157860648859,-0.16079540913054205
1.586429732961418,0.6994257069416717,2.9531119979646663,3.1779552859387223,-0.9244196922786124,-0.799525047747937,-0.18452825774357237
1.661974005959581,0.7670183542909232,3.016010420272753,3.1640152328598647,-1.1510524311122958,-0.572892233546109,-0.20826105657135388
1.7375182789577437,0.852981575541589,3.0612278697509803,3.1482823027473517,-1.3776852141266145,-0.34625941816140043,-0.2099391523720666
1.8130625519559065,0.9568804887173401,3.0880814287226093,3.1324226021075536,-1.2512935761762882,-0.11962660719998955,-0.2336709705220704
1.8886068249540693,1.0514874473970415,3.0962513387729476,3.1147700985186892,-1.4779129133942357,0.10700620190084954,-0.2099384650795839
1.964151097952232,1.16287834426299,3.0851762190707954,3.0989104497999027,-1.2967304456066675,0.33363900945494934,-0.18620575192691785
2.039695370950395,1.2596742280704754,3.055814754468483,3.084843671642509,-1.0700985137049825,0.5602718163252972,-0.162472973891044
2.1152396439485575,1.3379832768689897,3.0089724471548847,3.0725697689480613,-0.9334100668018042,0.7869046209558734,-0.13874017338596767
2.1907839169467205,1.4042292723596732,2.944804657665757,3.0620887434139803,-0.7392946865863703,1.0135374230968497,-0.11500736411185634
2.266328189944883,1.4538213753956237,2.864043991593904,3.0534005957027164,-0.5126620449511005,1.2401702242122938,-0.09127454346307298
2.341872462943046,1.4841477321576693,2.767309205449512,3.04650532667356,-0.2860295888881556,1.466803021731403,-0.06754171971812983
2.4174167359412086,1.4951373981968816,2.654949661172926,3.0414029365604094,-0.1819203278826344,1.6934358142296662,-0.04380889865112179
2.4929610089393712,1.496015742877258,2.5262872142615014,3.0380934251609615,-0.21418658790162667,1.9200685995398923,-0.02007608169087001
2.5685052819375342,1.4971239323732062,2.3803415416447837,3.0365767921649742,-0.2435281273514417,2.1467013728670525,0.0036567291683113914
2.644049554935697,1.4984204950443363,2.21713551931285,3.036853037111546,-0.268418069107102,2.373334122223384,0.027389531057677406
2.71959382793386,1.4998421809653975,2.036706298973227,3.0389221593230604,-0.28733695437582374,2.5999667996578752,0.05112231964413057
2.7951381009320224,1.501304166416277,1.8391032831795886,3.0427841577945576,-0.28746614659468855,2.7195934082366646,0.07485508790245372
2.8706823739301854,1.502647503247052,1.6325133985167377,3.0484390309903633,-0.24596604113434253,2.4929607308631807,0.0985878234542618
2.946226646928348,1.5036301084147534,1.4432726074619724,3.0558867764396878,-0.2026377782669764,2.266327981566442,0.12232050207249298
3.021770919926511,1.5042264606869773,1.2713825366872755,3.0651273898415257,-0.15901020074400365,2.0396952082972057,0.1460530637965218
3.0973151929246736,1.5044328232008775,1.1168278652793473,3.0761608623651893,-0.11660100454534876,1.8130624230426977,0.16978526973500047
3.172859465922836,1.5042669431352138,0.9795785294089916,3.0889871671331184,-0.07691420911079892,1.5864296305973675,0.16612872061974798
3.248403738920999,1.5037677007549817,0.8595931253258502,3.1015372405564525,-0.04490290615226576,1.359796833358008,0.14239649394096182
3.323948011919162,1.503043550649104,0.7568148209120857,3.11229448016871,-0.0224190200050333,1.1331640326935917,0.11866391066080294
3.399492284917325,1.502228768781061,0.6711978926520709,3.1212588590306996,-0.007940711578922958,0.9065312294593797,0.0949312091778476
3.4750365579154874,1.5014360918256893,0.602716610234767,3.1284303682128765,4.0312598366987675e-05,0.6798984242254305,0.07119844895007178
3.5505808309136504,1.5007570192338775,0.5513586672446124,3.1338090032774066,0.0030257621245639273,0.4532656173906375,0.04746565366935909
3.626125103911813,1.5002619250411644,0.5171198621275281,3.1373947615762408,0.0025158176039636847,0.22663280924451001,0.023732835121137177
3.7016693769099756,1.5,0.5,3.1391876413516524,0.0,0.0,0.0
