start_x,start_y,start_z,end_x,end_y,end_z
0,0,0,1,0,0
1.1,0,0,4,0,0
4,3.5,0,0,3.5,0
0,3.5,0,0,0,0
1,2.7,0,1.1,2.7,0
1,0,0,1.1,0,0
1.1,0,0,1.1,2.7,0
